REG,OVR_FLTS,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM
BRA,,2019-04-19T00:00:00Z,1725,1705,194,2946,290,1556,1530
BRA,,2019-04-20T00:00:00Z,1094,1109,179,1843,181,924,916
BRA,,2019-04-21T00:00:00Z,1626,1619,191,2689,365,1414,1434
BRA,,2019-04-22T00:00:00Z,2157,2155,197,3695,420,1964,1977
BRA,,2019-04-23T00:00:00Z,2012,2004,192,3448,376,1841,1830
BRA,,2019-04-24T00:00:00Z,1922,1962,190,3314,380,1763,1795
BRA,,2019-04-25T00:00:00Z,1973,1982,203,3292,460,1800,1816
BRA,,2019-04-26T00:00:00Z,2053,2050,191,3450,462,1880,1877
BRA,,2019-04-27T00:00:00Z,1629,1618,198,2771,278,1455,1425
BRA,,2019-04-28T00:00:00Z,1406,1426,184,2418,230,1222,1259
BRA,,2019-04-29T00:00:00Z,1905,1928,205,3215,413,1735,1753
BRA,,2019-04-30T00:00:00Z,1928,1928,193,3244,419,1781,1783
BRA,,2019-05-01T00:00:00Z,1535,1530,197,2566,302,1366,1347
BRA,,2019-05-02T00:00:00Z,1779,1799,195,3005,378,1612,1631
BRA,,2019-05-03T00:00:00Z,1986,1979,198,3294,473,1810,1809
BRA,,2019-05-04T00:00:00Z,1543,1531,193,2649,232,1378,1343
BRA,,2019-05-05T00:00:00Z,1515,1559,187,2647,240,1329,1389
BRA,,2019-05-06T00:00:00Z,1938,1937,186,3340,349,1754,1772
BRA,,2019-05-07T00:00:00Z,1878,1902,197,3246,337,1716,1731
BRA,,2019-05-08T00:00:00Z,1938,1926,193,3284,387,1766,1755
BRA,,2019-05-09T00:00:00Z,1956,1994,200,3316,434,1789,1823
BRA,,2019-05-10T00:00:00Z,2018,2013,215,3469,347,1841,1840
BRA,,2019-05-11T00:00:00Z,1547,1532,193,2696,190,1383,1349
BRA,,2019-05-12T00:00:00Z,1433,1457,183,2499,208,1255,1292
BRA,,2019-05-13T00:00:00Z,1888,1879,194,3322,251,1712,1704
BRA,,2019-05-14T00:00:00Z,1880,1874,202,3204,348,1715,1702
BRA,,2019-05-15T00:00:00Z,1860,1903,194,3190,379,1701,1746
BRA,,2019-05-16T00:00:00Z,1969,1988,198,3296,463,1805,1817
BRA,,2019-05-17T00:00:00Z,2000,1993,209,3360,424,1820,1822
BRA,,2019-05-18T00:00:00Z,1545,1522,199,2647,221,1382,1344
BRA,,2019-05-19T00:00:00Z,1438,1478,193,2500,223,1254,1310
BRA,,2019-05-20T00:00:00Z,1861,1861,192,3201,329,1691,1699
BRA,,2019-05-21T00:00:00Z,1913,1916,195,3291,343,1755,1745
BRA,,2019-05-22T00:00:00Z,1920,1912,210,3232,390,1751,1746
BRA,,2019-05-23T00:00:00Z,1936,1964,197,3327,376,1772,1789
BRA,,2019-05-24T00:00:00Z,2022,2021,203,3406,434,1843,1843
BRA,,2019-05-25T00:00:00Z,1587,1548,201,2694,240,1416,1367
BRA,,2019-05-26T00:00:00Z,1448,1486,186,2508,240,1276,1323
